,Unnamed: 0,날짜,본문,본문%,종가,주가%
0,0.0,2023.08.31,2.0,5.39,,
1,1.0,2023.08.30,3.0,5.39,,
2,2.0,2023.08.29,5.0,5.39,,
3,3.0,2023.08.28,7.0,5.39,,
4,4.0,2023.08.25,9.0,5.39,,
5,5.0,2023.08.24,5.0,5.39,,
6,6.0,2023.08.23,2.0,5.39,,
7,7.0,2023.08.22,4.0,5.39,,
8,8.0,2023.08.21,3.0,5.39,,
9,9.0,2023.08.18,6.0,5.39,,
10,10.0,2023.08.17,42.0,5.39,,
11,11.0,2023.08.16,55.0,5.39,,
12,12.0,2023.08.14,33.0,5.39,,
13,13.0,2023.08.11,1.0,5.39,,
14,14.0,2023.08.10,14.0,5.39,,
15,15.0,2023.08.09,44.0,5.39,,
16,16.0,2023.08.08,64.0,5.39,,
17,17.0,2023.08.07,33.0,5.39,,
18,18.0,2023.08.04,6.0,5.39,,
19,19.0,2023.08.03,3.0,5.39,,
20,20.0,2023.08.02,53.0,5.39,,
21,21.0,2023.08.01,111.0,5.39,,
0,,2023.08.31,,,"66,900",5.18
1,,2023.08.30,,,"67,100",5.18
2,,2023.08.29,,,"66,800",5.18
3,,2023.08.28,,,"66,800",5.18
4,,2023.08.25,,,"67,100",5.18
5,,2023.08.24,,,"68,200",5.18
6,,2023.08.23,,,"67,100",5.18
7,,2023.08.22,,,"66,600",5.18
8,,2023.08.21,,,"66,600",5.18
9,,2023.08.18,,,"66,300",5.18
10,,2023.08.17,,,"66,700",5.18
11,,2023.08.16,,,"67,000",5.23
12,,2023.08.14,,,"67,300",5.18
13,,2023.08.11,,,"67,500",5.18
14,,2023.08.10,,,"68,000",5.18
15,,2023.08.09,,,"68,900",5.18
16,,2023.08.08,,,"67,600",5.18
17,,2023.08.07,,,"68,500",5.29
18,,2023.08.04,,,"68,300",5.18
19,,2023.08.03,,,"68,800",5.18
20,,2023.08.02,,,"69,900",5.18
21,,2023.08.01,,,"71,100",5.18
